Elapsed Time (s),Ongoing Flows,RTT (ms),bw-core,bw-node
0.202,0,0.646361965,500mbit,200mbit
0.403,5,0.358680729,500mbit,200mbit
0.604,3,7.697256922,500mbit,200mbit
0.804,3,8.005151714,500mbit,200mbit
1.005,1,2.943693416,500mbit,200mbit
1.206,8,6.297116864,500mbit,200mbit
1.407,6,12.73061125,500mbit,200mbit
1.607,5,6.410551607,500mbit,200mbit
1.807,6,10.1902858,500mbit,200mbit
2.007,4,6.290192236,500mbit,200mbit
2.208,0,6.232964279,500mbit,200mbit
2.409,4,6.598493796,500mbit,200mbit
2.61,2,5.252157225,500mbit,200mbit
2.811,1,6.620392815,500mbit,200mbit
3.012,2,2.328795185,500mbit,200mbit
3.212,6,8.730517302,500mbit,200mbit
3.413,5,9.227453183,500mbit,200mbit
3.614,9,11.27997158,500mbit,200mbit
3.815,11,10.6401261,500mbit,200mbit
4.016,11,9.828940798,500mbit,200mbit
4.216,9,14.1019169,500mbit,200mbit
4.417,1,14.35645826,500mbit,200mbit
4.618,4,5.06161111,500mbit,200mbit
4.818,0,2.923507283,500mbit,200mbit
5.019,4,2.143071538,500mbit,200mbit
5.221,4,4.728931856,500mbit,200mbit
5.422,8,4.689478936,500mbit,200mbit
5.622,3,5.432744491,500mbit,200mbit
5.823,2,4.61379086,500mbit,200mbit
6.023,0,1.674716236,500mbit,200mbit
6.224,6,5.721684805,500mbit,200mbit
6.425,8,9.047950399,500mbit,200mbit
6.626,6,12.50262038,500mbit,200mbit
6.826,0,10.35959632,500mbit,200mbit
7.027,0,4.436877114,500mbit,200mbit
7.228,2,2.911531518,500mbit,200mbit
7.429,0,1.274519609,500mbit,200mbit
7.629,0,2.111437413,500mbit,200mbit
7.83,1,1.608697356,500mbit,200mbit
8.031,4,7.372912371,500mbit,200mbit
8.231,2,3.583403101,500mbit,200mbit
8.432,5,5.844008542,500mbit,200mbit
8.633,7,3.816147164,500mbit,200mbit
8.834,9,9.201475988,500mbit,200mbit
9.034,14,15.23592707,500mbit,200mbit
9.235,15,15.69913901,500mbit,200mbit
9.436,19,9.737489526,500mbit,200mbit
9.636,16,13.08754614,500mbit,200mbit
9.837,22,17.66873603,500mbit,200mbit
10.038,15,15.66973372,500mbit,200mbit
